1_Q5	2_Q5	3_Q5	4_Q5	5_Q5	6_Q5	7_Q5	8_Q5	9_Q5	10_Q5	11_Q5	12_Q5	13_Q5	14_Q5	15_Q5	16_Q5	17_Q5	18_Q5	19_Q5	20_Q5	mTurkCode	LB1	A1	M1	UB1	LB2	A2	M2	UB2	LB3	A3	M3	UB3	LB4	A4	M4	UB4	LB5	A5	M5	UB5	LB6	A6	M6	UB6	LB7	A7	M7	UB7	LB8	A8	M8	UB8	LB9	A9	M9	UB9	LB10	A10	M10	UB10	LB11	A11	M11	UB11	LB12	A12	M12	UB12	LB13	A13	M13	UB13	LB14	A14	M14	UB14	LB15	A15	M15	UB15	LB16	A16	M16	UB16	LB17	A17	M17	UB17	LB18	A18	M18	UB18	LB19	A19	M19	UB19	LB20	A20	M20	UB20
watals - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	preans - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	loonzes - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	heans - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	pulges - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	folings - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	spards - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	roals - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	smalks - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	attels - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	mishers - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	earts - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	guills - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	locians - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	parges - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	horths - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	mards - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	nevens - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	totens - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	sooks - Most groups contain [Field-2] to [Field-3] [Field-1]. A particular group has [Field-4] [Field-1].   There is a(n) [Field-5] increase in this group.      How many [Field-1] are there ?  (please enter a number response)	mTurkCode	LB1	A1	M1	UB1	LB2	A2	M2	UB2	LB3	A3	M3	UB3	LB4	A4	M4	UB4	LB5	A5	M5	UB5	LB6	A6	M6	UB6	LB7	A7	M7	UB7	LB8	A8	M8	UB8	LB9	A9	M9	UB9	LB10	A10	M10	UB10	LB11	A11	M11	UB11	LB12	A12	M12	UB12	LB13	A13	M13	UB13	LB14	A14	M14	UB14	LB15	A15	M15	UB15	LB16	A16	M16	UB16	LB17	A17	M17	UB17	LB18	A18	M18	UB18	LB19	A19	M19	UB19	LB20	A20	M20	UB20
{"ImportId":"1_QID6_TEXT"}	{"ImportId":"2_QID6_TEXT"}	{"ImportId":"3_QID6_TEXT"}	{"ImportId":"4_QID6_TEXT"}	{"ImportId":"5_QID6_TEXT"}	{"ImportId":"6_QID6_TEXT"}	{"ImportId":"7_QID6_TEXT"}	{"ImportId":"8_QID6_TEXT"}	{"ImportId":"9_QID6_TEXT"}	{"ImportId":"10_QID6_TEXT"}	{"ImportId":"11_QID6_TEXT"}	{"ImportId":"12_QID6_TEXT"}	{"ImportId":"13_QID6_TEXT"}	{"ImportId":"14_QID6_TEXT"}	{"ImportId":"15_QID6_TEXT"}	{"ImportId":"16_QID6_TEXT"}	{"ImportId":"17_QID6_TEXT"}	{"ImportId":"18_QID6_TEXT"}	{"ImportId":"19_QID6_TEXT"}	{"ImportId":"20_QID6_TEXT"}	{"ImportId":"mTurkCode"}	{"ImportId":"LB1"}	{"ImportId":"A1"}	{"ImportId":"M1"}	{"ImportId":"UB1"}	{"ImportId":"LB2"}	{"ImportId":"A2"}	{"ImportId":"M2"}	{"ImportId":"UB2"}	{"ImportId":"LB3"}	{"ImportId":"A3"}	{"ImportId":"M3"}	{"ImportId":"UB3"}	{"ImportId":"LB4"}	{"ImportId":"A4"}	{"ImportId":"M4"}	{"ImportId":"UB4"}	{"ImportId":"LB5"}	{"ImportId":"A5"}	{"ImportId":"M5"}	{"ImportId":"UB5"}	{"ImportId":"LB6"}	{"ImportId":"A6"}	{"ImportId":"M6"}	{"ImportId":"UB6"}	{"ImportId":"LB7"}	{"ImportId":"A7"}	{"ImportId":"M7"}	{"ImportId":"UB7"}	{"ImportId":"LB8"}	{"ImportId":"A8"}	{"ImportId":"M8"}	{"ImportId":"UB8"}	{"ImportId":"LB9"}	{"ImportId":"A9"}	{"ImportId":"M9"}	{"ImportId":"UB9"}	{"ImportId":"LB10"}	{"ImportId":"A10"}	{"ImportId":"M10"}	{"ImportId":"UB10"}	{"ImportId":"LB11"}	{"ImportId":"A11"}	{"ImportId":"M11"}	{"ImportId":"UB11"}	{"ImportId":"LB12"}	{"ImportId":"A12"}	{"ImportId":"M12"}	{"ImportId":"UB12"}	{"ImportId":"LB13"}	{"ImportId":"A13"}	{"ImportId":"M13"}	{"ImportId":"UB13"}	{"ImportId":"LB14"}	{"ImportId":"A14"}	{"ImportId":"M14"}	{"ImportId":"UB14"}	{"ImportId":"LB15"}	{"ImportId":"A15"}	{"ImportId":"M15"}	{"ImportId":"UB15"}	{"ImportId":"LB16"}	{"ImportId":"A16"}	{"ImportId":"M16"}	{"ImportId":"UB16"}	{"ImportId":"LB17"}	{"ImportId":"A17"}	{"ImportId":"M17"}	{"ImportId":"UB17"}	{"ImportId":"LB18"}	{"ImportId":"A18"}	{"ImportId":"M18"}	{"ImportId":"UB18"}	{"ImportId":"LB19"}	{"ImportId":"A19"}	{"ImportId":"M19"}	{"ImportId":"UB19"}	{"ImportId":"LB20"}	{"ImportId":"A20"}	{"ImportId":"M20"}	{"ImportId":"UB20"}
8	5	2																		935304																																																																																
																				4312685	290	870	1160	2030	8560	330	8890	9220	2270	260	2530	2790	7680	100	7780	7880	7310	820	8130	8950	5200	590	5790	6380	170	750	920	1670	4810	670	5480	6150	4020	960	4980	5940	640	360	1000	1360	5720	720	6440	7160	2610	670	3280	3950	2290	60	2350	2410	9110	130	9240	9370	4820	710	5530	6240	8790	730	9520	10250	3310	320	3630	3950	4690	590	5280	5870	9670	570	10240	10810	850	20	870	890
																				2926117	3580	60	3640	3700	9100	50	9150	9200	350	580	930	1510	6740	700	7440	8140	6180	280	6460	6740	9250	640	9890	10530	4370	810	5180	5990	5860	540	6400	6940	5400	740	6140	6880	6160	780	6940	7720	6940	240	7180	7420	3980	240	4220	4460	7120	200	7320	7520	4070	640	4710	5350	8460	830	9290	10120	8030	600	8630	9230	820	90	910	1000	6450	300	6750	7050	3310	210	3520	3730	8570	50	8620	8670
																				7162032	7150	320	7470	7790	510	120	630	750	3850	430	4280	4710	6000	10	6010	6020	8340	40	8380	8420	5930	770	6700	7470	3410	890	4300	5190	1130	650	1780	2430	2880	840	3720	4560	3810	810	4620	5430	5040	560	5600	6160	420	420	840	1260	7320	210	7530	7740	5250	130	5380	5510	1840	730	2570	3300	5320	230	5550	5780	6420	670	7090	7760	5330	420	5750	6170	8600	310	8910	9220	4110	520	4630	5150
6	4	3	5	6	1000	7	8	200	8	9	1	3	4	1	2	5	7	3	2	5836728	2800	210	3010	3220	8040	330	8370	8700	5220	910	6130	7040	7420	940	8360	9300	940	770	1710	2480	9580	980	10560	11540	2760	130	2890	3020	8350	400	8750	9150	1530	350	1880	2230	9170	520	9690	10210	8900	930	9830	10760	8230	540	8770	9310	2420	760	3180	3940	3950	940	4890	5830	370	460	830	1290	5610	440	6050	6490	6220	810	7030	7840	7930	370	8300	8670	3710	150	3860	4010	770	900	1670	2570
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8405313	1710	990	2700	3690	6630	340	6970	7310	3270	340	3610	3950	8120	450	8570	9020	5380	670	6050	6720	2390	620	3010	3630	2610	180	2790	2970	7630	260	7890	8150	990	600	1590	2190	8160	410	8570	8980	8370	620	8990	9610	9810	640	10450	11090	8030	980	9010	9990	1750	530	2280	2810	2200	280	2480	2760	9490	830	10320	11150	1260	370	1630	2000	3100	570	3670	4240	6680	950	7630	8580	7490	670	8160	8830
�																																																																																																				
